platform,video_id,title,channel,published_at,views,likes,comments,url
YouTube,3MwMII8n1qM,What Will Happen to Marketing in the Age of AI? | Jessica Apotheker | TED,TED,2023-12-12T12:00:04Z,777188,14022,355,https://www.youtube.com/watch?v=3MwMII8n1qM
YouTube,h_TYMVHFNA8,This is How You Can Build AI Marketing Campaigns in One Tab,Varun Mayya,2025-06-17T16:35:00Z,252698,12924,289,https://www.youtube.com/watch?v=h_TYMVHFNA8
YouTube,_6xWi_uludY,How to create Product VFX Marketing Videos using AI,Harsh Gautam,2025-06-01T07:00:28Z,346872,7033,170,https://www.youtube.com/watch?v=_6xWi_uludY
YouTube,JB7vXQ_gyAw,7 Best AI Marketing Tools,Learn With Shopify,2025-01-05T14:00:18Z,66563,2758,9,https://www.youtube.com/watch?v=JB7vXQ_gyAw
YouTube,5hZCTc_mwOg,How to Get SO Many Customers with AI it feels ILLEGAL,Dan Martell,2025-10-10T13:00:18Z,116988,4772,444,https://www.youtube.com/watch?v=5hZCTc_mwOg
YouTube,nkuPUJVzB_E,"How To Use AI to Start, Build &amp; Grow Your Small Business (20 AI Marketing Tools!)",HubSpot Marketing,2025-02-05T18:15:02Z,117755,5091,157,https://www.youtube.com/watch?v=nkuPUJVzB_E
YouTube,yYOtMdRPwLE,7 AI Marketing Trends That Will Transform Your Business in 2025 | HubSpot Report,HubSpot Marketing,2025-07-16T17:01:30Z,12527,548,23,https://www.youtube.com/watch?v=yYOtMdRPwLE
YouTube,RmcwvtMmP3Q,Beginner&#39;s Guide to AI Marketing (AI Marketing 101),Exposure Ninja,2023-03-27T12:00:08Z,94936,1590,61,https://www.youtube.com/watch?v=RmcwvtMmP3Q
YouTube,ANFTVpYJs5o,Create Marketing Videos + Photoshoots with TopView AI 🔥,Softwareforcreators,2025-10-26T17:52:18Z,15,2,0,https://www.youtube.com/watch?v=ANFTVpYJs5o
YouTube,a40YkQDSIrk,How AI Could Change the Advertising Business | Quantum Marketing,Bloomberg Originals,2025-04-24T22:00:00Z,178602,4148,154,https://www.youtube.com/watch?v=a40YkQDSIrk
YouTube,adQhWdS5h90,Best SEO Tools For 2025 #SEO #SEOtools #googlerankings,Kate Smoothy (SEO Specialist),2025-01-07T18:00:00Z,83744,1341,20,https://www.youtube.com/watch?v=adQhWdS5h90
YouTube,JOASI8dJB68,What is Content Optimization?,Tony Peacock - LinkDaddy - Backlinks & Seo Services,2023-04-02T14:19:34Z,100,5,0,https://www.youtube.com/watch?v=JOASI8dJB68
YouTube,JexHZO-F7ak,Content Optimization by Grammatically: Best Tips on Writing for SEO,WsCube Tech,2022-03-21T14:30:03Z,82381,2087,59,https://www.youtube.com/watch?v=JexHZO-F7ak
YouTube,2AYjYIJwPQg,🔥Salary of SEO Specialist | SEO Skills for 2025 #Shorts | Simplilearn,Simplilearn,2024-12-24T14:30:00Z,605560,18845,8,https://www.youtube.com/watch?v=2AYjYIJwPQg
YouTube,s3yJ3et_hXc,How To Do Content Optimization in SEO Tutorial 2025 | Website Content Optimization Strategies | #seo,Marketing Fundas,2025-02-25T08:30:19Z,1776,56,4,https://www.youtube.com/watch?v=s3yJ3et_hXc
